id,nama,lat,lon,is_depot
0,TPA Jatibarang,-7.021579,110.3583421,1
1,Mitra Komunika ( Specialist Service ),-6.9841606,110.3975977,0
2,Dokter phone servis hp,-6.9862875,110.3881248,0
3,EPS SERVICE HP,-6.986086,110.3902021,0
4,Service handphone,-6.9972402,110.3899836,0
5,Mediatech Service HP,-6.9871342,110.3804223,0
6,iPhone Service Solution - Service Iphone Semarang,-6.9798945,110.3909365,0
7,ANDI CELL SERVIS HP SEMARANG BARAT KARANGAYU,-6.9826405,110.3863185,0
8,Saiyo Cell - HP Baru & Second • Service • Aksesoris,-6.9779314,110.390766,0
9,iPhone Service Solution - Service Iphone Semarang (10),-6.9798945,110.3909365,0
10,ALL REPAIR HP SEMARANG BARAT,-6.9818223,110.3674599,0
11,Dewa Komunika - Pusat Service HP,-6.9839838,110.3698862,0
12,Androfix Service HP Hardware Software Semarang,-6.9790946,110.4003983,0
13,Servis Elektronik dan HP,-6.9733077,110.398115,0
14,Yess mobile service hp,-7.0035383,110.39201,0
15,WAHYU PHONE SERVICE,-6.9989384,110.3897285,0
16,Service Center Sanken,-7.0001454,110.3902874,0
17,Alfacell Service Hp,-6.9820978,110.3940594,0
18,Servis Center Resmi Xiaomi - Poco - Infinix - Tecno - Itel,-6.982113,110.3940597,0
19,Servis Center Resmi Xiaomi - Poco - Infinix - Tecno - Itel (20),-6.982113,110.3940597,0
20,Coocaa Service Centre,-6.9861423,110.3923734,0
21,TCL Service Center Semarang,-6.977282,110.3689902,0
22,Dicell Service Hp,-6.9837958,110.4066385,0
23,RAMEECELL SERVICE HP,-6.989419,110.4040201,0
24,Service Center Handphone Laptop Printer Semarang,-7.0049676,110.4288621,0
25,Carlcare Service (Infinix-TECNO-itel) Semarang,-6.98568,110.4227856,0
26,HP SERVICE CENTER SEMARANG - Operated by PT HPS,-6.9840257,110.4309192,0
27,KLA Service Center Semarang,-6.9841734,110.4308356,0
28,Service HP,-6.990197,110.424346,0
29,Samsung Service Center - Semarang,-6.9936755,110.4307793,0
30,Kartika Service HP dan Sparepart HP,-6.9903576,110.4249202,0
31,Panasonic Gobel Indonesia Service Center Semarang,-6.9802973,110.4036163,0
32,Gadget Center REPAIR,-6.985752,110.4434261,0
33,Service HP 7cell,-6.9769896,110.4040377,0
34,KingsJE Management,-6.9736083,110.4054871,0
35,Service Connection Smg,-6.9690999,110.4116795,0
36,Terdekat Cell Service Hp,-6.9695132,110.4091264,0
